======================================
name | kor  eng math  sci  sum   avg
-----+--------------------------------
Lee   |  80,  90,  95,  90, 355, 88.75
Kim   |  85,  75,  70,  95, 325, 81.25
Park  |  70,  80,  90,  85, 325, 81.25
Yoon  |  80,  85,  90,  85, 340, 85.00
Hong  |  75,  85,  85,  80, 325, 81.25
Yeo   |  83,  87,  92,  95, 357, 89.25
Shim  |  73,  97,  84,  89, 343, 85.75
Choi  |  83,  83,  82,  75, 323, 80.75
Hwang |  93,  85,  92,  93, 363, 90.75
Yang  |  87,  77,  82,  85, 331, 82.75
======================================
